Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Mulholland Drive","Heavy Young Heathens","Scavengers","Favorite Songs","Favorite","USYP61100138","4LYp1cXHiCMR0wJHcWpTCj"
"The Fight Song","Marilyn Manson","Holy Wood","Favorite Songs","Favorite","USIR10001297","6pfdW2NouUI3ZnugM7r0G0"
"Melancholie","Kraftklub","Mit K","Favorite Songs","Favorite","DEUM71104122","3UP9kCOgDrTha7Guz7O9bb"
"Fuck Everything","EURINGER","EURINGER","Favorite Songs","Favorite","US57M1811610","410VdpOc20JRbnD2DOogc5"
"Uhn Tiss Uhn Tiss Uhn Tiss","Bloodhound Gang","Hefty Fine","Favorite Songs","Favorite","USUM70503683","21Vr3DuKIaMjgEaiqdJgpT"
"Easy To Love","Slut","Nothing Will Go Wrong","Favorite Songs","Favorite","DEG120202404","4BFlaeLvuxrLvx3yAtA8Vl"
"Einfache Gefühle","Das Lumpenpack","emotions","Favorite Songs","Favorite","DEC162103620","5VCXzQz9Pf1olRvWuCDmOA"
"This Is The New Shit","Marilyn Manson","The Golden Age Of Grotesque","Favorite Songs","Favorite","USIR10300252","5P13mfqn9o3ToFPTxowEgO"
"English Summer Rain","Placebo","Sleeping With Ghosts","Favorite Songs","Favorite","GBAAA0201204","7wbG7nhJIhRdY1tBK02zxy"
"Brainless","DREAMERS","Brainless","Favorite Songs","Favorite","USHR12141911","66LgSLTaY4qAPRNazf0Psn"
"Шприц","Алексей Вишня","Танцы на битом стекле","Favorite Songs","Favorite","FRS182116424","4tHal2VWqVxuId5x4zFfJm"
"Peer Gynt, Op. 23: IV. In the Hall of the Mountain King","Edvard Grieg","Fright Night: Music That Goes Bump in the Night","Favorite Songs","Favorite","USSM19913397","5zhuWncJsBKrQ1HhmAKNAg"
"שגר פגר","Habiluim","שכול וכישלון","Favorite Songs","Favorite","IL1010005346","2Nlf84QPPnh4byDk45oa5a"
"Buss It Up - Original Mix","Wizard","Buss It Up","Favorite Songs","Favorite","UK4N71300001","3NCYpw6m46k8uQXoy47jUb"
"Ordinary Life","Liquido","Float","Favorite Songs","Favorite","DED830578106","6isvtX8MdiQFN3aA57ArqR"
"Last Day (Do Or Die)","The BossHoss","Do Or Die","Favorite Songs","Favorite","DEUM70901652","5CwF3v8AdrFuVIH3mL7QZM"
"Bottom of a Bender","Sarah and the Safe Word","Good Gracious! Bad People.","Favorite Songs","Favorite","USF283078008","6FWZBBsK2q1PJBwRJ4SiyD"
"Cover My traces","Reach","The Promise of a Life","Favorite Songs","Favorite","SEXCG2001908","0oH9zPhVonZJVRRdZBGbKv"
"Through Glass","Stone Sour","Come What(ever) May [10th Anniversary Edition]","Favorite Songs","Favorite","NLA320682289","5NeIONQWJ25uPylJBJiO4c"
